Country,Count
CA,27
England,20
Germany,19
United Kingdom,18
France,17
California,17
Finland,15
Deutschland,14
Sverige,12
New York,12
Suomi,12
NY,12
ON,10
Washington,10
Netherlands,9
Danmark,9
Italia,8
Texas,8
Ireland,8
Canada,7
Brasil,7
Belgium,7
Australia,6
WA,6
Polska,6
Scotland,6
België,6
Österreich,6
Austria,6
Norway,6
Denmark,6
Switzerland,6
FL,6
Czechia,5
New Zealand,5
Baden-Württemberg,5
Małopolskie,5
Sweden,5
Poland,5
Wisconsin,5
PA,5
Nordrhein-Westfalen,5
Virginia,5
North Carolina,5
Ohio,5
CT,5
VIC,4
MD,4
Italy,4
Magyarország,4
IL,4
España,4
VA,4
Portugal,4
Victoria,4
CO,4
TX,4
BC,4
Nederland,4
Schweiz,4
MA,4
Florida,4
Stockholm,3
GA,3
NSW,3
KS,3
Uusimaa,3
Groningen,3
Česká republika,3
Bayern,3
Michigan,3
Catalunya,3
Romania,3
OH,3
United States,3
Israel,3
Illinois,3
MI,3
Hungary,3
Zürich,3
DC,3
NC,3
Vaud,2
Ontario,2
QLD,2
Lithuania,2
Mazowieckie,2
Spain,2
Ukraine,2
Suisse,2
Украина,2
Rio Grande do Sul,2
New South Wales,2
Niedersachsen,2
Missouri,2
Jönköpings län,2
Estonia,2
Oklahoma,2
County Cork,2
Gelderland,2
Cluj County,2
Georgia,2
NJ,2
Alabama,2
QC,2
Pennsylvania,2
Québec,2
Community of Madrid,2
Indiana,2
North Holland,2
Alberta,2
IN,2
Hessen,2
British Columbia,2
Česko,2
OR,2
PR,2
Slovakia,2
Zuid-Holland,1
Utah,1
Seoul,1
Montevideo Department,1
Provence-Alpes-Côte d'Azur,1
Berlin,1
Nariño,1
Thailand,1
MS,1
New Hampshire,1
Hallands län,1
Incheon,1
Oost-Vlaanderen,1
Noord-Holland,1
Hovedstaden,1
District of Columbia,1
Jilin,1
Mississippi,1
Greece,1
Piemonte,1
Rio de Janeiro,1
Santa Catarina,1
Rheinland-Pfalz,1
Maryland,1
Hlavní město Praha,1
Andhra Pradesh,1
Dolnośląskie,1
Bulgaria,1
Hawaii,1
Grand Est,1
Alicante,1
Iași County,1
Lazio,1
LA,1
OK,1
Silesian Voivodeship,1
Județul Iași,1
Pernambuco,1
Japan,1
Nordjylland,1
Morocco,1
Croatia,1
Athens,1
Reino Unido,1
Polonia,1
New Jersey,1
Latvia,1
Singapore,1
Francia,1
Tyrol,1
VT,1
Kujawsko-Pomorskie,1
Россия,1
Łódzkie,1
Styria,1
Aargau,1
Norge,1
ME,1
MO,1
Sachsen,1
Arizona,1
Belgique,1
Rusya,1
Suède,1
North Rhine-Westphalia,1
WI,1
Minas Gerais,1
Auvergne-Rhône-Alpes,1
Capital Region,1
Эстония,1
Zagreb,1
Russia,1
Comunidad de Madrid,1
South Korea,1
CDMX,1
USA,1
Flanders,1
Schleswig-Holstein,1
Arkansas,1
AB,1
"Hong Kong SAR, China",1
RI,1
Yucatán,1
Gujarat,1
Friuli-Venezia Giulia,1
Guatemala,1
Polonya,1
Lituanie,1
SD,1
South Dakota,1
NL,1
Rogaland,1
Nevada,1
MT,1
Australian Capital Territory,1
Veneto,1
asdf,1
מחוז תל אביב,1
Iceland,1
TN,1
Turkey,1
Canarias,1
Taiwan,1
Federal Territory of Kuala Lumpur,1
Luxembourg,1
Lombardy,1
Brazil,1
Argentina,1
Slovensko,1
Oregon,1
Σουηδία,1
County Dublin,1
Türkiye,1
Беларусь,1
Județul Sibiu,1
United Arab Emirates,1
Philippines,1
Réunion,1
Jalisco,1
Western Australia,1
Île-de-France,1
País Vasco,1
北京市,1
South Africa,1
