Job,Count
False,34
Software Engineer,33
Engineer,8
Software Developer,7
Student,7
PhD Student,5
Consultant,4
Barista,4
Research Assistant,3
Accountant,3
Mechanical Engineer,3
Writer,3
Software engineer,3
Civil Engineer,3
Web Developer,3
Business Owner,2
Trader,2
Unknown Job,2
Programista,2
Étudiant,2
Developer,2
Owner,2
Data Scientist,2
Android Developer,2
Machine Learning Engineer,2
Server,2
Entrepreneur,2
software developer,2
Grad Student,2
Empreendedor,2
Project Manager,2
Sales,2
Software developer,2
Manager,2
Ingénieur,2
Analyst,2
Speech pathologist,1
Fachinformatiker für Systemintegration,1
Full Stack Web Developer,1
Media Analyst,1
Majitel webu,1
Product Owner en Mede-eigenaar,1
Security Officer,1
Programming,1
Ingenieur Apprenti,1
Environment Artist,1
Kunst underviser,1
Music Project Manager,1
Civilingenjör,1
Technical Intern,1
Digital nomad,1
Medstudent,1
Office Production Assistant,1
Ethical Hacker,1
IT Marketeer,1
English Teacher,1
,1
Senior Innovation Manager,1
Video Production,1
Metal Fabrication,1
Boss par intérim,1
Swim instructor,1
IT Security Analyst,1
Dog Walker,1
Software Development Consultant,1
Product Manager,1
Technology Strategy Analyst,1
Corporate Risk Management & Legal Enforcement,1
Engineering Manager,1
Electrician,1
Executive Director,1
covid officer,1
Yazılım Mühendisi,1
Konsulent,1
a PM of sorts,1
Research Technician,1
tillfälligt i produktion,1
Pilot,1
Management,1
Operations Research Analyst,1
Firefighter,1
Ho A Che Fare Con I Turisti.,1
Live Video Engineer,1
EMEA Project Manager,1
Scientist and Lecturer,1
"Student generalist 3D, graphic design",1
3d animator,1
Driver,1
Receptionist,1
Lyft,1
Industrial designer Intern,1
ceo of racism,1
DevOps,1
McDonald's,1
Operations Manager,1
Business Manager,1
Head,1
Private Equity,1
Civil Designer,1
Snake Charmer but not really,1
"co-founder, product developer",1
Retail worker,1
PhD Chemist,1
я самогонщик,1
Commodity trading,1
nightcore listener 2012,1
IT Helpdesk Engineer,1
Eventhulpverlener,1
Graduate Research Assistant,1
Medicinal Chemist,1
IT Kaufmann,1
Product Engineer,1
Surgery Dept,1
Application Development Analyst,1
Digital Project Manager,1
Strategic Planner,1
Technology Consultant,1
Video Editor,1
student,1
Professional Model and Writer,1
CR Writer,1
It Helpdesk,1
Graphic designer,1
